variable,age,bmi,total_cholesterol,hdl,ldl,triglycerides,fasting_glucose,physical_activity_level,dietary_score
age,1,-0.065,-0.058,0.06,-0.094,-0.051,0.032,-0.026,0.097
bmi,-0.065,1,0.481,-0.536,0.52,0.461,0.436,-0.482,-0.309
total_cholesterol,-0.058,0.481,1,-0.314,0.34,0.317,0.266,-0.326,-0.094
hdl,0.06,-0.536,-0.314,1,-0.354,-0.394,-0.324,0.176,0.19
ldl,-0.094,0.52,0.34,-0.354,1,0.343,0.296,-0.349,-0.294
triglycerides,-0.051,0.461,0.317,-0.394,0.343,1,0.337,-0.248,-0.274
fasting_glucose,0.032,0.436,0.266,-0.324,0.296,0.337,1,-0.218,-0.302
physical_activity_level,-0.026,-0.482,-0.326,0.176,-0.349,-0.248,-0.218,1,0.127
dietary_score,0.097,-0.309,-0.094,0.19,-0.294,-0.274,-0.302,0.127,1
